"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.integration.services.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/integration/services/impl/b2btechretailstoreImportCockpitServiceActivator.java","3","79","When doing a String.toLowerCase()/toUpperCase() call, use a Locale","Error Prone","UseLocaleWithCaseConversions"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.integration.services.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/integration/services/impl/b2btechretailstoreImportCockpitServiceActivator.java","2","224","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","2","55","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","3","69","Ensure that resources like this FileOutputStream object are closed after use","Error Prone","CloseResource"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","3","70","Ensure that resources like this ZipOutputStream object are closed after use","Error Prone","CloseResource"
"4","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","3","131","Avoid unused method parameters such as 'cronJobLocale'.","Best Practices","UnusedFormalParameter"
"5","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","3","139","Ensure that resources like this FileInputStream object are closed after use","Error Prone","CloseResource"
"6","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","2","163","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExMediaGenerationService.java","2","167","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedAllowedLicenseTypes.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedAverageCostCronJob.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","3","111","Avoid unused local variables such as 'line'.","Best Practices","UnusedLocalVariable"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","2","117","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","3","145","Ensure that resources like this FileInputStream object are closed after use","Error Prone","CloseResource"
"4","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","3","151","Do not use `new Character(...)`, prefer `Character.valueOf(...)`","Best Practices","PrimitiveWrapperInstantiation"
"5","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","3","156","Do not use `new Character(...)`, prefer `Character.valueOf(...)`","Best Practices","PrimitiveWrapperInstantiation"
"6","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","2","168","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","3","191","Ensure that resources like this FileInputStream object are closed after use","Error Prone","CloseResource"
"8","com.b2btechretailstore.hybris.cockpits.importcockpit.services.media.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/media/impl/Defaultb2btechretailstoreImportCockpitMediaService.java","2","196","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedCNetHostedMedia.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedAllowedMaterialPricingGroups.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedCnetAttributeMetaData.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.cockpits.util","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/util/b2btechretailstoreImportCockpitMappingUtils.java","4","128","Useless parentheses.","Code Style","UselessParentheses"
"2","com.b2btechretailstore.hybris.cockpits.util","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/util/b2btechretailstoreImportCockpitMappingUtils.java","4","128","Useless parentheses.","Code Style","UselessParentheses"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedDataFeedEmailProcess.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"2","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedDataFeedEmailProcess.java","4","10","Unnecessary import from the current package 'com.b2btechretailstore.hybris.core.jalo.DataFeedFileProcess'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.core.jalo","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecore/gensrc/com/b2btechretailstore/hybris/core/jalo/GeneratedCpsProgramIdRule.java","4","9","Unused import 'com.b2btechretailstore.hybris.core.constants.b2btechretailstoreCoreConstants'","Code Style","UnnecessaryImport"
"1","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","3","Unused import 'com.b2btechretailstore.hybris.core.services.VendorService'","Code Style","UnnecessaryImport"
"2","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","8","Unused import 'java.io.UnsupportedEncodingException'","Code Style","UnnecessaryImport"
"3","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","11","Unused import 'java.util.HashSet'","Code Style","UnnecessaryImport"
"4","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","12","Unused import 'java.util.Iterator'","Code Style","UnnecessaryImport"
"5","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","16","Unused import 'java.util.stream.Collectors'","Code Style","UnnecessaryImport"
"6","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","18","Unused import 'com.b2btechretailstore.hybris.cockpits.util.GeneratorUtil'","Code Style","UnnecessaryImport"
"7","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","37","Unused import 'de.hybris.platform.jalo.JaloBusinessException'","Code Style","UnnecessaryImport"
"8","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","38","Unused import 'de.hybris.platform.util.CSVReader'","Code Style","UnnecessaryImport"
"9","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","3","60","This statement should have braces","Code Style","ControlStatementBraces"
"10","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","86","Useless parentheses.","Code Style","UselessParentheses"
"11","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","3","109","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"12","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","110","Useless parentheses.","Code Style","UselessParentheses"
"13","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","3","117","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"14","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","4","118","Useless parentheses.","Code Style","UselessParentheses"
"15","com.b2btechretailstore.hybris.cockpits.importcockpit.services.impex.generator.operations.impl","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstore/b2btechretailstorecockpits/src/com/b2btechretailstore/hybris/cockpits/importcockpit/services/impex/generator/operations/impl/b2btechretailstoreImpExTransformationService.java","3","125","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
