"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"18","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"19","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"20","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"21","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"22","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"23","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"24","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"25","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"26","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"27","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"28","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"29","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"30","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"31","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"32","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"33","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"34","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"35","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"36","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"37","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"38","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"39","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"40","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"41","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"42","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"43","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"44","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"45","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"46","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"47","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"48","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"49","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"50","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"51","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"52","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"53","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"54","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"55","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"56","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
"57","","/b2btechretailstore/repository/hybris/bin/custom/b2btechretailstorewebservices/web/webroot/static/bootstrap/js/jquery-1.8.3.min.js","2","2","Avoid assignments in operands","Code Style","AssignmentInOperand"
